month,crime_category,current_month_reg,current_month_det,previous_month_reg,previous_month_det,current_year_reg,current_year_det,previous_year_reg,previous_year_det,,
2024-10,Snatching,23,12,26,12,83,47,0,0,,
2024-10,Hurt,400,303,366,282,3679,3484,3624,3472,,
2024-10,Riots.,29,25,25,22,265,253,241,225,,
2024-10,Rape,89,69,89,67,869,811,814,771,,
2024-10,Molestation,227,170,267,230,2067,1935,1783,1661,,
2024-10,Other I.P.C.,2821,1955,1775,1041,26469,20764,19668,14635,,
2024-09,Murder,5,4,10,10,78,76,91,86,,
2024-09,Att.to.C.Murder,14,13,31,30,240,237,208,205,,
2024-09,Dacoity,5,5,2,2,19,19,21,19,,
2024-09,Prep.for Dacoity,1,1,1,1,8,8,22,22,,
2024-09,Robbery,34,33,31,27,398,389,484,474,,
2024-09,Robbery Chain Snatching,11,9,4,3,96,87,87,83,,
2024-09,Att.to.C.Robbery,1,1,3,3,16,15,13,13,,
2024-09,Extortion,8,5,17,11,151,126,195,143,,
2024-09,H.B.T.Day,19,2,20,10,186,102,173,107,,
2024-09,H.B.T.Night.,84,25,102,35,822,475,813,550,,
2024-09,Thefts.,587,141,570,118,6849,2190,4782,1929,,
2024-09,M.V.Thefts.,183,44,247,73,1938,1038,1951,1083,,
2024-09,Snatching,26,12,21,11,59,30,0,0,,
2024-09,Hurt,366,282,332,265,3282,3106,3187,3053,,
2024-09,Riots.,25,22,24,19,236,227,203,191,,
2024-09,Rape,89,67,111,89,772,715,723,682,,
2024-09,Molestation,267,230,269,231,1840,1738,1572,1455,,
2024-09,Other I.P.C.,1775,1041,2936,1963,23651,18554,17151,12550,,
2024-08,Murder,10,10,5,5,72,71,85,82,,
2024-08,Att.to.C.Murder,31,30,16,15,226,222,180,178,,
2024-08,Dacoity,2,2,1,1,14,14,18,16,,
2024-08,Prep.for Dacoity,1,1,0,0,7,7,18,18,,
2024-08,Robbery,31,27,22,18,364,355,424,412,,
2024-08,Robbery Chain Snatching,4,3,3,2,85,78,78,74,,
2024-08,Att.to.C.Robbery,3,3,5,4,15,14,13,13,,
2024-08,Extortion,17,11,8,3,143,118,174,130,,
2024-08,H.B.T.Day,20,10,19,5,168,98,154,96,,
2024-08,H.B.T.Night.,102,35,105,34,738,426,717,505,,
2024-08,Thefts.,570,118,567,112,6260,1979,3972,1644,,
2024-08,M.V.Thefts.,247,72,199,39,1756,929,1752,952,,
2024-08,Snatching,21,11,10,1,33,17,0,0,,
2024-08,Hurt,332,265,256,203,2919,2778,2868,2751,,
2024-08,Riots.,24,19,23,19,208,199,177,167,,
2024-08,Rape,111,89,64,48,667,619,658,627,,
2024-08,Molestation,269,231,134,104,1570,1485,1409,1300,,
2024-08,Other I.P.C.,2937,1962,2539,1789,21906,17284,14822,10627,,
2024-07,Murder,5,5,8,8,61,59,76,73,,
2024-07,Att.to.C.Murder,16,15,21,21,194,191,150,148,,
2024-07,Dacoity,1,1,0,0,12,12,15,15,,
2024-07,Prep.for Dacoity,0,0,1,1,6,6,13,13,,
2024-07,Robbery,22,18,53,50,333,326,361,346,,
2024-07,Robbery Chain Snatching,3,2,16,9,81,72,71,65,,
2024-07,Att.to.C.Robbery,5,4,1,0,12,11,11,11,,
2024-07,Extortion,8,3,15,9,126,104,150,106,,
2024-07,H.B.T.Day,19,5,15,6,144,81,134,80,,
2024-07,H.B.T.Night.,105,34,110,41,636,367,625,409,,
2024-07,Thefts.,567,112,678,148,5696,1772,3368,1384,,
2024-07,M.V.Thefts.,199,39,223,52,1507,789,1501,789,,
2024-07,Snatching,10,1,0,0,10,1,0,0,,
2024-07,Hurt,256,203,394,337,2588,2465,2546,2408,,
2024-07,Riots.,23,19,23,18,184,178,158,135,,
2024-07,Rape,64,48,63,49,546,505,565,528,,
